driverStandingsId,driverId,points,position,wins
13915,19,0.0,20,0
13914,18,2.0,16,0
13913,24,0.0,21,0
13912,17,10.0,11,0
13911,11,4.0,15,0
13910,22,0.0,18,0
13909,5,22.0,7,0
13908,15,7.0,13,0
13905,13,77.0,4,3
13904,21,17.0,8,0
13901,4,95.0,2,4
13927,2,56.0,5,0
13947,29,0.0,23,0
13946,20,1.0,18,0
13945,14,13.0,11,0
13944,27,0.0,24,0
13943,9,35.0,6,0
13942,26,0.0,21,0
13941,25,13.0,10,0
13940,16,1.0,17,0
13939,19,0.0,22,0
13938,18,2.0,16,0
13937,24,0.0,20,0
13936,17,10.0,12,0
13935,11,4.0,15,0
13934,22,0.0,19,0
13933,5,30.0,7,0
13932,15,7.0,13,0
13929,13,80.0,4,3
13928,21,21.0,8,0
13925,4,95.0,2,4
13951,2,58.0,5,0
13971,29,0.0,23,0
13970,20,6.0,14,0
13969,14,14.0,10,0
13968,27,0.0,24,0
13967,9,35.0,6,0
13966,26,0.0,21,0
13965,25,13.0,11,0
13964,16,1.0,19,0
13963,19,0.0,22,0
13962,18,6.0,15,0
13961,24,3.0,18,0
13960,17,10.0,12,0
13959,11,4.0,17,0
13958,22,0.0,20,0
13957,5,30.0,7,0
13956,15,7.0,13,0
13955,23,5.0,16,0
13953,13,86.0,4,3
13952,21,21.0,8,0
13949,4,103.0,2,4
13972,8,110.0,1,6
13996,6,0.0,22,0
13995,29,0.0,24,0
13994,20,6.0,14,0
13993,14,14.0,10,0
13992,27,0.0,25,0
13991,9,39.0,6,0
13990,26,0.0,21,0
13989,25,13.0,11,0
13988,16,1.0,19,0
13987,19,0.0,23,0
13986,18,6.0,15,0
13985,24,3.0,18,0
13984,17,10.0,12,0
13983,11,4.0,17,0
13982,22,0.0,20,0
13981,5,30.0,7,0
13980,15,8.0,13,0
13979,23,5.0,16,0
13978,3,20.0,9,0
13977,13,94.0,4,3
13975,2,61.0,5,0
13973,4,109.0,3,4
12824,11,0.0,18,0
12823,33,0.0,17,0
12822,15,0.0,16,0
12821,22,0.0,15,0
12820,23,0.0,14,0
12819,26,0.0,13,0
12818,2,0.0,12,0
12817,24,0.0,11,0
12816,14,0.0,10,0
12815,13,0.0,9,0
12814,32,1.0,8,0
12813,3,2.0,7,0
12812,17,3.0,6,0
12811,31,4.0,5,0
12810,18,5.0,4,0
12809,8,6.0,3,0
12808,30,8.0,2,0
12807,4,10.0,1,1
12845,27,0.0,17,0
12844,35,2.0,10,0
12843,21,10.0,4,1
12842,11,0.0,21,0
12841,33,0.0,19,0
12840,15,0.0,13,0
12839,22,0.0,14,0
12838,23,1.0,11,0
12837,26,0.0,20,0
12836,2,0.0,18,0
12835,24,0.0,16,0
12834,14,0.0,15,0
12833,13,4.0,7,0
12832,32,1.0,12,0
12831,3,2.0,9,0
12830,17,3.0,8,0
12829,31,9.0,5,0
12828,18,11.0,3,0
12827,8,6.0,6,0
12826,30,11.0,2,0
12825,4,18.0,1,1
12867,34,0.0,22,0
12866,27,0.0,19,0
12865,35,5.0,9,0
12864,21,14.0,2,1
12863,11,0.0,20,0
12862,33,0.0,21,0
12861,15,0.0,17,0
12860,22,2.0,12,0
12859,23,7.0,7,0
12858,26,0.0,16,0
12857,2,5.0,8,0
12856,24,0.0,18,0
12855,14,1.0,14,0
12854,13,4.0,10,0
12853,32,1.0,15,0
12852,3,2.0,13,0
12851,17,3.0,11,0
12850,31,9.0,6,0
12849,18,11.0,5,0
12848,8,14.0,3,0
12847,30,11.0,4,0
12846,4,28.0,1,2
12889,34,0.0,22,0
12888,27,0.0,19,0
12887,35,5.0,11,0
12886,21,15.0,4,1
12885,11,0.0,20,0
12884,33,0.0,21,0
12883,15,0.0,17,0
12882,22,2.0,12,0
12881,23,7.0,8,0
12880,26,0.0,16,0
12879,2,5.0,10,0
12878,24,0.0,18,0
12877,14,1.0,14,0
12876,13,9.0,7,0
12875,32,1.0,15,0
12874,3,2.0,13,0
12873,17,6.0,9,0
12872,31,15.0,5,0
12871,18,13.0,6,0
12870,8,18.0,3,0
12869,30,21.0,2,1
12868,4,36.0,1,2
12911,34,0.0,22,0
12910,27,0.0,19,0
12909,35,6.0,11,0
12908,21,18.0,4,1
12907,11,0.0,21,0
12906,33,0.0,20,0
12905,15,0.0,16,0
12904,22,6.0,9,0
12903,23,7.0,8,0
12902,26,0.0,17,0
12901,2,5.0,12,0
12900,24,0.0,18,0
12899,14,1.0,14,0
12898,13,15.0,5,0
12897,32,1.0,15,0
12896,3,4.0,13,0
12895,17,6.0,10,0
12894,31,15.0,6,0
12893,18,13.0,7,0
12892,8,23.0,3,0
12891,30,31.0,2,2
12890,4,44.0,1,2
12933,34,0.0,22,0
12932,27,0.0,19,0
12931,35,6.0,12,0
12930,21,24.0,4,1
12929,11,0.0,21,0
12928,33,0.0,20,0
12927,15,0.0,16,0
12926,22,8.0,8,0
12925,23,7.0,9,0
12924,26,0.0,17,0
12923,2,6.0,10,0
12922,24,0.0,18,0
12921,14,1.0,14,0
12920,13,20.0,5,0
12919,32,1.0,15,0
12918,3,4.0,13,0
12917,17,6.0,11,0
12916,31,15.0,7,0
12915,18,16.0,6,0
12914,8,27.0,3,0
12913,30,39.0,2,2
12912,4,54.0,1,3
12956,36,0.0,23,0
12955,34,0.0,22,0
12954,27,0.0,19,0
12953,35,6.0,13,0
12952,21,27.0,3,1
12951,11,0.0,21,0
12950,33,0.0,20,0
12949,15,0.0,16,0
12948,22,13.0,8,0
12947,23,8.0,9,0
12946,26,0.0,17,0
12945,2,8.0,10,0
12944,24,0.0,18,0
12943,14,7.0,11,0
12942,13,20.0,6,0
12941,32,1.0,15,0
12940,3,4.0,14,0
12939,17,6.0,12,0
